"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Aarakocra","MM","Medium","humanoid (aarakocra)","neutral good","12","13 (3d8)","20 ft., fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/4 (50 XP)"," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","","Mountain"
"Aarakocra Simulacrum","SKT","Medium","humanoid (aarakocra)","neutral good","12","6 (3d4)","20 ft., fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/8 (25 XP)"," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target. Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","",""
"Aberrant Spirit","TCE","Medium","aberration","unaligned","11 + the level of the spell (natural armor)","40 + 10 for each spell level above 4th","30 ft., fly 30 ft. (beholderkin only; hover)","16","10","15","16","10","6","","","","","psychic","","darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you speak",""," Regeneration (Slaad Only). The aberration regains 5 hit points at the start of its turn if it has at least 1 hit point. Whispering Aura (Star Spawn Only). At the start of each of the aberration's turns, each creature within 5 feet of the aberration must succeed on a Wisdom saving throw against your spell save DC or take 2d6 psychic damage, provided that the aberration isn't incapacitated."," Multiattack. The aberration makes a number of attacks equal to half this spell's level (rounded down). Eye Ray (Beholderkin Only). Ranged Spell Attack: your spell attack modifier to hit, range 150 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage. Claws (Slaad Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d10 + 3 + the spell's level slashing damage. If the target is a creature, it can't regain hit points until the start of the aberration's next turn. Psychic Slam (Star Spawn Only). Melee Spell Attack: your spell attack modifier to hit, reach 5 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage.","","","","","","",""
"Abhorrent Overlord","MOT","Large","fiend","lawful evil","16 (natural armor)","136 (16d10 + 48)","30 ft., fly 60 ft.","20","18","16","15","14","16","Con +7, Cha +7","Deception +7, Intimidation +7, Persuasion +7","","cold, necrotic","poison","poisoned","darkvision 120 ft., passive Perception 12","Abyssal, Common, Infernal","9 (5,000 XP)"," Innate Spellcasting. The abhorrent overlord's spellcasting ability is Charisma (spell save DC 15). It can innately cast the following spells, requiring no material components:1/day each: confusion, crown of madness, suggestion Insatiable Greed. The abhorrent overlord can sense the presence of gold within 1,000 feet of itself. It can determine which location has the greatest amount of gold and can sense the direction to that site. If the gold is being moved, it knows the direction of the movement. It can't locate gold if any thickness of clay or lead, even a thin sheet, blocks a direct path between it and the gold. Magic Resistance. The abhorrent overlord has advantage on saving throws against spells and other magical effects."," Multiattack. The abhorrent overlord makes two attacks with its claws. Claws. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage plus 14 (4d6) necrotic damage. The abhorrent overlord regains hit points equal to half the amount of necrotic damage dealt if the target is a creature. Storm of Crows (Recharge 6). The abhorrent overlord conjures a swarm of spectral crows and harpies in a 20-foot-radius sphere centered on a point the overlord can see within 120 feet of it. The sphere remains for 1 minute or until the overlord loses concentration (as if concentrating on a spell), and its area is lightly obscured and difficult terrain.Any creature that moves into the area for the first time on a turn or starts its turn there must make a DC 15 Constitution saving throw. A creature takes 16 (3d10) slashing damage plus 16 (3d10) psychic damage on a failed save, or half as much damage on a successful one.","","","","","","",""
"Aboleth","MM","Large","aberration","lawful evil","17 (natural armor)","135 (18d10 + 36)","10 ft., swim 40 ft.","21","9","15","18","15","18","Con +6, Int +8, Wis +6","History +12, Perception +10","","","","","darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.","10 (5,900 XP)"," Amphibious. The aboleth can breathe air and water. Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater. Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature."," Multiattack. The aboleth makes three tentacle attacks. Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed. Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage. Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.","",""," Detect. The aboleth makes a Wisdom (Perception) check. Tail Swipe. The aboleth makes one tail attack. Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.","","When fighting inside its lair, an aboleth can invoke the ambient magic to take lair actions. On initiative count 20 (losing initiative ties), the aboleth takes a lair action to cause one of the following effects:The aboleth casts phantasmal force (no components required) on any number of creatures it can see within 60 feet of it. While maintaining concentration on this effect, the aboleth can't take other lair actions. If a target succeeds on the saving throw or if the effect ends for it, the target is immune to the aboleth's phantasmal force lair action for the next 24 hours, although such a creature can choose to be affected.Pools of water within 90 feet of the aboleth surge outward in a grasping tide. Any creature on the ground within 20 feet of such a pool must succeed on a DC 14 Strength saving throw or be pulled up to 20 feet into the water and knocked prone. The aboleth can't use this lair action again until it has used a different one.Water in the aboleth's lair magically becomes a conduit for the creature's rage. The aboleth can target any number of creatures it can see in such water within 90 feet of it. A target must succeed on a DC 14 Wisdom saving throw or take 7 (2d6) psychic damage. The aboleth can't use this lair action again until it has used a different one.","The region containing an aboleth's lair is warped by the creature's presence, which creates one or more of the following effects:Underground surfaces within 1 mile of the aboleth's lair are slimy and wet and are difficult terrain.Water sources within 1 mile of the lair are supernaturally fouled. Enemies of the aboleth that drink such water vomit it within minutes.As an action, the aboleth can create an illusory image of itself within 1 mile of the lair. The copy can appear at any location the aboleth has seen before or in any location a creature charmed by the aboleth can currently see. Once created, the image lasts for as long as the aboleth maintains concentration, as if concentrating on a spell. Although the image is intangible, it looks, sounds, and can move like the aboleth. The aboleth can sense, speak, and use telepathy from the image's position as if present at that position. If the image takes any damage, it disappears.If the aboleth dies, the first two effects fade over the course of 3d10 days.","Underdark"
"Abominable Yeti","MM","Huge","monstrosity","chaotic evil","15 (natural armor)","137 (11d12 + 66)","40 ft., climb 40 ft.","24","10","22","9","13","9","","Perception +5, Stealth +4","","","cold","","darkvision 60 ft., passive Perception 15","Yeti","9 (5,000 XP)"," Fear of Fire. If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn. Keen Smell. The yeti has advantage on Wisdom (Perception) checks that rely on smell. Snow Camouflage. The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain."," Multiattack. The yeti can use its Chilling Gaze and makes two claw attacks. Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage plus 7 (2d6) cold damage. Chilling Gaze. The yeti targets one creature it can see within 30 feet of it. If the target can see the yeti, the target must succeed on a DC 18 Constitution saving throw against this magic or take 21 (6d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to this yeti's gaze for 1 hour. Cold Breath (Recharge 6). The yeti exhales a 30-foot cone of frigid air. Each creature in that area must make a DC 18 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.","","","","","","","Arctic"
"Abyssal Chicken","BGDIA","Tiny","fiend (demon)","chaotic evil","13 (natural armor)","10 (3d4 + 3)","30 ft., fly 30 ft. (see bad flier below)","6","14","13","4","9","5","","","","cold, fire, lightning","poison","blinded, poisoned","blindsight 30ft. (blind beyond this radius), passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)"," Bad Flier. The abyssal chicken falls at the end of a turn if it's airborne and the only thing holding it aloft is its flying speed."," Multiattack. The abyssal chicken makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.","","","","","","",""
"Abyssal Wretch","MTF","Medium","fiend (demon)","chaotic evil","11","18 (4d8)","20 ft.","9","12","11","5","8","5","","","","cold, fire, lightning","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.","","","","","","",""
"Acererak","ToA","Medium","undead","neutral evil","21 (natural armor)","285 (30d8 + 150)","30 ft.","13","16","20","27","21","20","Con +12, Int +15, Wis +12","Arcana +22, History +22, Insight +12, Perception +12","","cold, lightning","necrotic, poison; bludgeoning, piercing, and slashing from nonmagical attacks","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, stunned","truesight 120 ft., passive Perception 22","Abyssal, Common, Draconic, Dwarvish, Elvish, Giant, Infernal, Primordial, Undercommon","23 (50,000 XP)"," Special Equipment. Acererak carries the Staff of the Forgotten One. He wears a Talisman of the Sphere and has a Sphere of Annihilation under his control. Legendary Resistance (3/Day). If Acererak fails a saving throw, he can choose to succeed instead. Rejuvenation. Acererak's body turns to dust when he drops to 0 hit points, and his equipment is left behind. Acererak gains a new body after 1d10 days, regaining all his hit points and becoming active again. The new body appears within 5 feet of Acererak's phylactery, the location of which is hidden. Spellcasting. Acererak is a 20th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 23, +15 to hit with spell attacks). Acererak has the following wizard spells prepared:Cantrips (at will): mage hand, ray of frost, shocking grasp1st level (at will): ray of sickness, shield2nd level (at will): arcane lock, knock3rd level (at will): animate dead, counterspell4th level (3 slots): blight, ice storm, phantasmal killer5th level (3 slots): cloudkill, hold monster, wall of force6th level (3 slots): chain lightning, circle of death, disintegrate7th level (3 slots): finger of death, plane shift, teleport8th level (2 slots): maze, mind blank9th level (2 slots): power word kill, time stop Turn Resistance. Acererak has advantage on saving throws against any effect that turns undead."," Paralyzing Touch. Melee Spell Attack: +15 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage, and the target must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Staff (+3 Quarterstaff). Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 10 (3d6) necrotic damage, or 8 (1d8 + 4) bludgeoning damage plus 10 (3d6) necrotic damage when used with two hands. Invoke Curse. While holding the Staff of the Forgotten One, Acererak expends 1 charge from it and targets one creature he can see within 60 feet of him. The target must succeed on a DC 23 Constitution saving throw or be cursed. Until the curse is ended, the target can't regain hit points and has vulnerability to necrotic damage. Greater restoration, remove curse, or similar magic ends the curse on the target.","",""," At-Will Spell. Acererak casts one of his at-will spells. Melee Attack. Acererak uses Paralyzing Touch or makes one melee attack with his staff. Frightening Gaze (Costs 2 Actions). Acererak fixes his gaze on one creature he can see within 10 feet of him. The target must succeed on a DC 20 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target its immune to Acererak's gaze for the next 24 hours. Talisman of the Sphere (Costs 2 Actions). Acererak uses his Talisman of the Sphere to move the Sphere of Annihilation under his control up to 90 feet. Disrupt Life (Costs 3 Actions). Each creature within 20 feet of Acererak must make a DC 20 Constitution saving throw against this magic, taking 42 (12d6) necrotic damage on a failed save, or half as much damage on a successful one.","","","",""
"Acolyte","MM","Medium","humanoid (any race)","any alignment","10","9 (2d8)","30 ft.","10","10","10","10","14","11","","Medicine +4, Religion +2","","","","","passive Perception 12","any one language (usually Common)","1/4 (50 XP)"," Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:Cantrips (at will): light, sacred flame, thaumaturgy1st level (3 slots): bless, cure wounds, sanctuary"," Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","","","","","","Urban"
